ds,yhat,yhat_lower,yhat_upper
2026-01-01,72.72727272727273,66.75087286013694,78.70367259440853
2026-01-02,75.45454545454545,69.47814558740966,81.43094532168125
2026-01-03,78.18181818181819,72.20541831468239,84.15821804895398
2026-01-04,80.90909090909092,74.93269104195512,86.88549077622672
2026-01-05,83.63636363636364,77.65996376922784,89.61276350349944
2026-01-06,86.36363636363637,80.38723649650058,92.34003623077217
2026-01-07,89.0909090909091,83.1145092237733,95.06730895804489
2026-01-08,91.81818181818183,85.84178195104603,97.79458168531762
2026-01-09,94.54545454545456,88.56905467831876,100.52185441259036
2026-01-10,97.27272727272728,91.29632740559148,103.24912713986308
2026-01-11,100.00000000000001,94.02360013286422,105.97639986713581
2026-01-12,102.72727272727275,96.75087286013695,108.70367259440854
2026-01-13,105.45454545454547,99.47814558740967,111.43094532168126
2026-01-14,108.1818181818182,102.2054183146824,114.158218048954
